Olmo 7B Accuracy,Camembert Large[0] Accuracy,Camembert Large Accuracy,Flaubert Large Accuracy,Flaubert Large[0] Accuracy,Flaubert Base Accuracy,Mistral7B Accuracy,doc_name,date,auteur,titre,canon,gender,naissance,mort,genre,droit_auteur
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1908_Rolland-Romain_Jean-Christophe_Tome-VI-Antoinette,1908,rolland romain,jean christophe,canon,male,1866,1944,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874_Barbey-d-Aurevilly-Jules_Les-Diaboliques,1874,barbey d aurevilly jules,les diaboliques,canon,male,1808,1889,nouvelles,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1862_Erckmann-Chatrian_L-Invasion-ou-le-Fou-Yegof,1862,erckmann chatrian,l invasion ou le fou yegof,non_canon,male,1822,1899,roman historique,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1920_Leroux-Gaston_Aventures-effroyables-de-M-Herbert-de-Renich_Tome-II-La-Bataille-invisible,1920,leroux gaston,aventures effroyables de m herbert de renich,non_canon,male,1868,1927,roman d'aventures,publique
0.0,0.01,0.03,0.0,0.0,0.0,0.0,2003_Ferney-Alice_Dans-la-guerre,2003,ferney alice,dans la guerre,non_canon,female,1961,20--,roman historique,prive
0.0,0.0,0.11,0.0,0.0,0.0,0.0,1987_Echenoz-Jean_Equipee-malaise,1987,echenoz jean,equipee malaise,canon,male,1947,20--,roman d'aventures,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878_Boisgobey-Fortune-du_Le-crime-de-l-Opera_1,1878,boisgobey fortune du,le crime de l opera,non_canon,male,1821,1891,policier,publique
0.0,0.01,0.05,0.02,0.01,0.0,0.0,1990_Tournier-Michel_Sept-contes,1990,tournier michel,sept contes,canon,male,1924,2016,littérature jeunesse,prive
0.0,0.02,0.04,0.0,0.0,0.0,0.0,1845_Balzac-Honore-de_Massimilla-Doni,1845,balzac honore de,massimilla doni,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1911_Leroux-Gaston_Un-homme-dans-la-nuit,1911,leroux gaston,un homme dans la nuit,non_canon,male,1868,1927,policier,publique
0.0,0.01,0.06,0.01,0.01,0.0,0.01,1975_Tournier-Michel_Les-Meteores,1975,tournier michel,les meteores,canon,male,1924,2016,roman d'aventures,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881_Laurie-Andre_Memoires-d-un-collegien,1881,laurie andre,memoires d un collegien,non_canon,male,1844,1909,littérature jeunesse,publique
0.0,0.01,0.12,0.0,0.0,0.0,0.0,1901_Soboleska-Mme_Les-Bonnes-idees-de-Mlle-Rose_Les-Enfants-au-ballon-elastique,1901,soboleska mme,les bonnes idees de mlle rose,non_canon,female,1853,1907,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894_Chabrillat-Henri-de_Les-cinq-sous-de-Lavarede,1894,chabrillat henri de,les cinq sous de lavarede,non_canon,male,1842,1893,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1922_Rolland-Romain_L-ame-enchantee-Annette-et-Sylvie_Volume-1,1922,rolland romain,l ame enchantee annette et sylvie,canon,male,1866,1944,cycles et séries,publique
0.0,0.01,0.03,0.0,0.0,0.0,0.0,2013_Lemaitre-Pierre_Au-revoir-la-haut,2013,lemaitre pierre,au revoir la haut,non_canon,male,1951,2???,roman historique,prive
0.0,0.0,0.03,0.02,0.0,0.01,0.01,1908_France-Anatole_L_Ile-Des-Pingouins,1908,france anatole,l,canon,male,1844,1924,roman historique,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1884_Ferry-Gabriel_Le-coureur-des-bois-ou-les-chercheurs-d'or_1,1884,ferry gabriel,le coureur des bois ou les chercheurs d'or,non_canon,male,1809,1852,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1846_Feval-Paul_La-Quittance-de-minuit_Tome-I-L-heritiere,1846,feval paul,la quittance de minuit,non_canon,male,1816,1887,roman historique,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878_Gaboriau-Emile_Le-capitaine-Coutanceau,1878,gaboriau emile,le capitaine coutanceau,non_canon,male,1832,1873,roman d'aventures,publique
0.0,0.0,0.04,0.0,0.0,0.0,0.02,1909_Ivoi-Paul-d-_L-Espion-X-323_Volume-I-L-Homme-sans-visage,1909,ivoi paul d ,l espion x 323,non_canon,male,1856,1915,roman d'aventures,publique
